Key,Id,English(en),Korean(ko)
"Title",10747064320,"Ghost Slayer","귀혼자"
"Continue",140896317440,"Continue","계속하기"
"NewGame",219174612992,"New Game","새 게임"
"Settings",280445005824,"Settings","설정"
"Quit",333700083712,"Quit","종료"
"General",4218013265113088,"General","일반"
"Graphics",4218172837408768,"Graphics","그래픽"
"Audio",4218231725436928,"Audio","오디오"
"Back",4218277426573312,"Back","닫기"
"Language",4218318765633536,"Language","언어"
"Resolution",4218372251398144,"Resolution","해상도"
"FullScreen",4218489524137984,"FullScreen","전체 화면"
"Music",4218782789873664,"Music","배경 음악"
"SFX",4218853858160640,"SFX","효과음"
"Resume",14141925226655744,"Resume","게임 재개"
"ReturnToLobby",14142127954145280,"Return To Lobby","로비 메뉴로 가기"
